IdSucursal,DescripcionBandera,RazonSocial,Direccion,Localidad,Provincia,Latitud,Longitud,IdBandera,IdComercio
00000117,Super Mami,Dinosaurio S.A.,E53 1011 None,Salsipuedes,AR-X,-31.126667,-64.29525,1,1
00001011,Hipermercado Carrefour,INC S.A.,Bernardo De Irigoyen 2647,San Isidro,AR-B,-34.491345,-58.589025,1,10
00010110,Hipermercado Carrefour,INC S.A.,Av. Vergara 1910,Hurlingham,AR-B,-34.62061,-58.633769,1,10
00010111,Hipermercado Carrefour,INC S.A.,Av. Arturo Illia 3770,Malvinas Argentinas,AR-B,-34.528883,-58.701631000000006,1,10
00101112,Hipermercado Carrefour,INC S.A.,20 De Febrero 37,Salta,AR-A,-24.789072,-65.413699,1,10
00010112,Hipermercado Carrefour,INC S.A.,Av. Don Bosco 2680,San Justo,AR-B,-34.664628,-58.59735600000001,1,10
00101123,Hipermercado Carrefour,INC S.A.,Gral. Acha 32,San Juan,AR-J,-31.534016,-68.524744,1,10
00101128,Hipermercado Carrefour,INC S.A.,Pellegrini 851,Comodoro Rivadavia,AR-U,-45.861562,-67.479968,1,10
00101136,Hipermercado Carrefour,INC S.A.,25 De Mayo 622,General Roca,AR-R,-39.030326,-67.573775,1,10
00101139,Hipermercado Carrefour,INC S.A.,Rivadavia 2846,Olavarría,AR-B,-36.893694,-60.32165,1,10
00101142,Hipermercado Carrefour,INC S.A.,Av. San Martín 685,Río Grande,AR-V,-53.785009,-67.70299,1,10
00101147,Hipermercado Carrefour,INC S.A.,Avellaneda 151,Santa Rosa,AR-L,-36.618338,-64.291249,1,10
00101149,Hipermercado Carrefour,INC S.A.,Moreno 909,Bariloche,AR-R,-41.136201,-71.29679200000002,1,10
00010115,Hipermercado Carrefour,INC S.A.,Av. San Martín 420,San Martín,AR-B,-34.586322,-58.519449,1,10
00101156,Hipermercado Carrefour,INC S.A.,Bartolomé Mitre 264,San Nicolás,AR-B,-33.331816,-60.220188,1,10
00101157,Hipermercado Carrefour,INC S.A.,Av. Coronel Olascoaga 350,Neuquén,AR-Q,-38.958858,-68.058932,1,10
00101159,Hipermercado Carrefour,INC S.A.,Av. Ferré 2985,Corrientes,AR-W,-27.477092,-58.815872,1,10
00010116,Hipermercado Carrefour,INC S.A.,Camino De Cintura 2200,Monte Grande,AR-B,-34.780839,-58.457944,1,10
00101161,Hipermercado Carrefour,INC S.A.,12 De Octubre 169,Ushuaia,AR-V,-54.815339,-68.334293,1,10
00101162,Hipermercado Carrefour,INC S.A.,Soberanía Nacional 140,Trelew,AR-U,-43.257504,-65.305489,1,10
00010117,Hipermercado Carrefour,INC S.A.,Av. Acceso Este Lateral Sur None,Guaymallen,AR-M,-32.908234,-68.789274,1,10
00101171,Hipermercado Carrefour,INC S.A.,Av. Bicentenario Batalla De Salta 702,Salta,AR-A,-24.781285,-65.401667,1,10
00101175,Hipermercado Carrefour,INC S.A.,Av. Entre Ríos 1816,Salta,AR-A,-24.779652,-65.427437,1,10
00101178,Hipermercado Carrefour,INC S.A.,Hipólito Yrigoyen 1283,San Fernando Del Valle De Catamarca,AR-K,-28.477093,-65.778283,1,10
00101179,Hipermercado Carrefour,INC S.A.,Gales 1315,Puerto Madryn,AR-U,-42.775492,-65.048586,1,10
